episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,fetch_status,bar_count,first_timestamp,last_timestamp,monotonic,duplicate_ts,ohlc_valid,max_gap_min,READY_0945,READY_1000,READY_1030,READY_1130,FULL_SESSION_COMPLETE,has_pm_session,has_close_session,INTRADAY_DAILY_MISMATCH,mismatch_detail,daily_high,minute_high,daily_close,minute_close,daily_s1_ok,data_source,5m_fetch_status,5m_has_data,5m_bar_count,5M_READY_0945,5M_READY_1000,5M_READY_1030,5M_READY_1130,5M_FULL_SESSION_COMPLETE
600026:20260617:1969,600026,FAILED_BREAKOUT,2026-06-24,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,22.83,,22.83,,True,NONE,OK,True,48,True,True,True,True,True
601872:20260622:1885,601872,FAILED_BREAKOUT,2026-06-24,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,21.91,,21.91,,True,NONE,OK,True,48,True,True,True,True,True
002392:20260618:881,002392,FAILED_BREAKOUT,2026-06-24,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,9.6,,9.0,,True,NONE,OK,True,48,True,True,True,True,True
002601:20260622:1703,002601,FAILED_BREAKOUT,2026-06-25,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,17.87,,17.43,,True,NONE,OK,True,48,True,True,True,True,True
002440:20260622:1099,002440,FAILED_BREAKOUT,2026-06-25,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.88,,11.62,,True,NONE,OK,True,48,True,True,True,True,True
600531:20260622:1481,600531,SUCCESS,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,17.34,,17.02,,True,NONE,OK,True,48,True,True,True,True,True
600708:20260623:329,600708,SUCCESS,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,3.68,,3.64,,True,NONE,OK,True,48,True,True,True,True,True
603661:20260622:3573,603661,FAILED_BREAKOUT,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,37.3,,37.3,,True,NONE,OK,True,48,True,True,True,True,True
002963:20260622:2144,002963,FAILED_BREAKOUT,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,23.99,,23.0,,True,NONE,OK,True,48,True,True,True,True,True
001206:20260623:1854,001206,FAILED_BREAKOUT,2026-06-29,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.97,,20.31,,True,NONE,OK,True,48,True,True,True,True,True
603588:20260622:1761,603588,SUCCESS,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,19.9,,19.6,,True,NONE,OK,True,48,True,True,True,True,True
002549:20260623:1867,002549,FAILED_BREAKOUT,2026-06-29,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.89,,20.89,,True,NONE,OK,True,48,True,True,True,True,True
600058:20260622:1131,600058,SUCCESS,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.77,,11.77,,True,NONE,OK,True,48,True,True,True,True,True
600234:20260622:3034,600234,FAILED_BREAKOUT,2026-06-26,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,31.19,,28.0,,True,NONE,OK,True,48,True,True,True,True,True
605369:20260623:1694,605369,FAILED_BREAKOUT,2026-06-25,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,19.39,,19.06,,True,NONE,OK,True,48,True,True,True,True,True
002427:20260624:474,002427,FAILED_BREAKOUT,2026-06-26,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,5.07,,4.88,,True,NONE,OK,True,48,True,True,True,True,True
603203:20260624:7014,603203,FAILED_BREAKOUT,2026-06-29,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,80.03,,80.0,,True,NONE,OK,True,48,True,True,True,True,True
605300:20260625:943,605300,FAILED_BREAKOUT,2026-06-30,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.04,,9.75,,True,NONE,OK,True,48,True,True,True,True,True
603297:20260624:13289,603297,FAILED_BREAKOUT,2026-06-29,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,142.86,,141.6,,True,NONE,OK,True,48,True,True,True,True,True
600539:20260626:1432,600539,FAILED_BREAKOUT,2026-06-30,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,16.46,,16.31,,True,NONE,OK,True,48,True,True,True,True,True
002518:20260625:5443,002518,FAILED_BREAKOUT,2026-06-30,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,53.59,,53.59,,True,NONE,OK,True,48,True,True,True,True,True
002497:20260624:2360,002497,FAILED_BREAKOUT,2026-07-02,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,22.35,,21.86,,True,NONE,OK,True,48,True,True,True,True,True
600118:20260626:7777,600118,FAILED_BREAKOUT,2026-06-30,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,84.17,,82.05,,True,NONE,OK,True,48,True,True,True,True,True
603063:20260625:5517,603063,FAILED_BREAKOUT,2026-06-30,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,56.08,,52.89,,True,NONE,OK,True,48,True,True,True,True,True
002728:20260629:880,002728,SUCCESS,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,10.04,,9.61,,True,NONE,OK,True,48,True,True,True,True,True
002370:20260629:537,002370,SUCCESS,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,5.91,,5.79,,True,NONE,OK,True,48,True,True,True,True,True
