episode_id,symbol,name,candidate_date,trade_date,anchor_date,candidate_state,selection_source,selection_reason,outcome,outcome_reason,data_cutoff,pit_valid,intraday_data_available,invalid_price,s1_price,b2_trigger_price,pattern_3d,setup_quality_score,entry_quality_score,data_quality,duplicate_check,same_anchor_sibling_count
000820:20240702:223,000820,神雾节能,2024-07-05,2024-07-08,2024-07-02,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.13,2.37,,AMBIGUOUS,53.42,53.42,PARTIAL,1,1
600280:20240703:255,600280,,2024-07-05,2024-07-08,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.43,2.74,,INVALID_BEFORE_S1,63.36,63.36,PARTIAL,1,0
000882:20240703:120,000882,,2024-07-05,2024-07-08,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,1.1,1.17,,INVALID_BEFORE_S1,53.42,53.42,PARTIAL,1,0
002510:20240626:381,002510,,2024-07-05,2024-07-10,2024-06-26,B2_CONFIRMED,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,3.77,4.1,4.03,AMBIGUOUS,73.25,0.0,PARTIAL,1,0
600271:20240702:817,600271,,2024-07-05,2024-07-08,2024-07-02,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,8.03,8.55,,INVALID_BEFORE_S1,63.01,63.01,PARTIAL,1,1
600539:20240703:416,600539,狮头股份,2024-07-05,2024-07-08,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,3.72,4.3,,INVALID_BEFORE_S1,72.6,72.6,PARTIAL,1,0
002527:20240704:661,002527,,2024-07-05,2024-07-08,2024-07-04,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,6.46,7.15,,INVALID_BEFORE_S1,83.95,83.95,PARTIAL,1,0
000720:20240705:265,000720,,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.61,2.96,,INVALID_BEFORE_S1,81.79,81.79,PARTIAL,1,0
002075:20240705:420,002075,,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,4.29,4.81,,NEITHER,64.2,53.97,PARTIAL,1,1
002979:20240704:1978,002979,雷赛智能,2024-07-08,2024-07-09,2024-07-04,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,18.84,19.95,,AMBIGUOUS,63.27,34.53,PARTIAL,1,1
