episode_id,symbol,candidate_date,CHECKPOINT,volume_pace,abs_session_low,session_range,session_low_price,session_high_price
603661:20260622:3573,603661,2026-06-24,1000,0.5118969983,6.526,5.8974,33.23,35.3
002963:20260622:2144,002963,2026-06-24,0945,0.4436747825,1.5349,6.7548,21.17,22.6
002963:20260622:2144,002963,2026-06-24,1000,0.4605249687,1.5349,6.8493,21.17,22.62
603630:20260623:1425,603630,2026-06-24,0945,4.3155195282,3.2281,2.8329,13.79,14.19
603630:20260623:1425,603630,2026-06-24,1000,3.380149855,4.2105,3.8244,13.65,14.19
001206:20260623:1854,001206,2026-06-24,0945,3.3220516332,2.9126,5.3341,18.0,18.99
001206:20260623:1854,001206,2026-06-24,1000,1.7124072039,2.9126,5.3341,18.0,18.99
603588:20260622:1761,603588,2026-06-24,0945,0.5229432886,2.0285,5.8338,17.87,18.93
603588:20260622:1761,603588,2026-06-24,1000,0.5103002315,2.0285,5.8338,17.87,18.93
002549:20260623:1867,002549,2026-06-24,0945,1.2901486638,0.9106,5.3609,18.5,19.51
002549:20260623:1867,002549,2026-06-24,1000,1.6011168574,0.9106,6.2633,18.5,19.68
600058:20260622:1131,600058,2026-06-24,0945,0.4333310659,1.9337,2.6852,10.65,10.94
600058:20260622:1131,600058,2026-06-24,1000,0.4941416705,2.3941,3.1481,10.6,10.94
002910:20260622:1282,002910,2026-06-24,0945,0.9200281873,2.9046,4.5719,11.7,12.25
002910:20260622:1282,002910,2026-06-24,1000,0.913816709,2.9046,4.5719,11.7,12.25
600234:20260622:3034,600234,2026-06-24,0945,0.4439005028,2.557,4.9709,28.2,29.65
600234:20260622:3034,600234,2026-06-24,1000,0.4240150979,2.9026,5.3137,28.1,29.65
002370:20260623:541,002370,2026-06-24,0945,2.0007415014,3.1423,8.2117,5.24,5.69
002370:20260623:541,002370,2026-06-24,1000,2.8933332239,3.1423,10.7664,5.24,5.83
605369:20260623:1694,605369,2026-06-24,0945,2.7142122226,1.9481,6.8946,16.61,17.84
605369:20260623:1694,605369,2026-06-24,1000,2.321338533,1.9481,6.8946,16.61,17.84
002038:20260623:554,002038,2026-06-24,0945,2.2106915637,2.5271,11.0307,5.4,6.01
002038:20260623:554,002038,2026-06-24,1000,2.7513769908,2.5271,12.4774,5.4,6.09
603318:20260623:1169,603318,2026-06-25,0945,0.8960422281,9.981,5.5094,9.47,10.0
603318:20260623:1169,603318,2026-06-25,1000,1.2050254944,9.981,5.5094,9.47,10.0
002427:20260624:474,002427,2026-06-25,0945,2.3180344358,4.2194,3.8961,4.54,4.72
002427:20260624:474,002427,2026-06-25,1000,1.021607202,4.4304,4.1126,4.53,4.72
603203:20260624:7014,603203,2026-06-25,0945,1.5913446292,1.7394,5.2888,68.92,72.72
603203:20260624:7014,603203,2026-06-25,1000,1.632072603,1.7394,5.2888,68.92,72.72
605300:20260625:943,605300,2026-06-26,0945,1.546021793,2.439,5.2632,9.2,9.7
