episode_id,symbol,anchor_date,candidate_date,outcome_event_date,s1_price,current_outcome,s1_source,s1_source_sha,event_date_source,event_date_source_sha,asl_5m_status
000811:20260615:3385,000811,2026-06-15,2026-06-16,2026-06-17,35.88,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603993:20260612:1911,603993,2026-06-12,2026-06-16,2026-06-18,21.0,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603052:20260615:9078,603052,2026-06-15,2026-06-16,2026-06-18,98.0,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600237:20260615:1068,600237,2026-06-15,2026-06-16,2026-06-22,12.6,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002281:20260615:22547,002281,2026-06-15,2026-06-16,2026-06-18,246.8,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603070:20260615:1604,603070,2026-06-15,2026-06-16,2026-06-17,17.98,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600520:20260615:2958,600520,2026-06-15,2026-06-16,2026-06-18,31.23,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002734:20260616:1639,002734,2026-06-16,2026-06-17,2026-06-18,17.22,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002805:20260616:2420,002805,2026-06-16,2026-06-17,2026-06-18,25.04,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603950:20260615:6549,603950,2026-06-15,2026-06-17,2026-06-22,69.82,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002428:20260615:10149,002428,2026-06-15,2026-06-17,2026-06-22,105.17,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002729:20260616:1947,002729,2026-06-16,2026-06-17,2026-06-18,20.5,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603629:20260615:16737,603629,2026-06-15,2026-06-17,2026-06-18,173.58,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600362:20260615:4736,600362,2026-06-15,2026-06-17,2026-06-18,51.88,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603318:20260616:965,603318,2026-06-16,2026-06-17,2026-06-22,10.47,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000657:20260615:8690,000657,2026-06-15,2026-06-17,2026-06-18,94.14,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600563:20260615:15730,600563,2026-06-15,2026-06-17,2026-06-22,176.58,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002910:20260616:1121,002910,2026-06-16,2026-06-17,2026-06-18,11.99,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002645:20260616:3363,002645,2026-06-16,2026-06-17,2026-06-18,36.1,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603637:20260617:1827,603637,2026-06-17,2026-06-18,2026-06-22,19.95,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603042:20260616:2097,603042,2026-06-16,2026-06-18,2026-06-22,21.6,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002885:20260616:4329,002885,2026-06-16,2026-06-18,2026-06-23,47.55,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
605069:20260611:1155,605069,2026-06-11,2026-06-18,2026-06-22,12.15,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000050:20260617:914,000050,2026-06-17,2026-06-18,2026-06-22,9.33,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002346:20260616:1801,002346,2026-06-16,2026-06-18,2026-06-22,19.17,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002830:20260612:1676,002830,2026-06-12,2026-06-18,2026-06-22,15.98,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
