feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
low_d1,NO_LAUNCH,409,1730,11.7,7.38,21.71,11.23,6.325,19.85,0.47,-0.0432,-0.9926,1.9352
low_d1,STRUCTURE_FAIL,409,5415,11.7,7.38,21.71,11.06,6.205,19.585,0.64,-0.0525,-0.6453,1.7005
low_d1,ALL_CONTROL,409,8095,11.7,7.38,21.71,11.25,6.29,19.885,0.45,-0.0415,-0.8605,1.751
low_d2,FAILED_BREAKOUT,409,950,11.11,7.1,21.0,11.93,6.4,22.25,-0.82,0.0244,-2.1353,0.9626
low_d2,NO_LAUNCH,409,1730,11.11,7.1,21.0,11.06,6.1625,19.08,0.05,-0.0408,-1.0505,1.9
low_d2,STRUCTURE_FAIL,409,5415,11.11,7.1,21.0,10.72,6.025,19.015,0.39,-0.0544,-0.7158,1.971
low_d2,ALL_CONTROL,409,8095,11.11,7.1,21.0,10.92,6.1,19.265,0.19,-0.0423,-0.9553,1.8757
close_d0,FAILED_BREAKOUT,409,950,12.11,7.71,22.43,13.445,7.01,24.12,-1.335,0.0334,-2.9003,0.901
close_d0,NO_LAUNCH,409,1730,12.11,7.71,22.43,11.815,6.61,20.61,0.295,-0.0489,-1.0758,2.3762
close_d0,STRUCTURE_FAIL,409,5415,12.11,7.71,22.43,11.67,6.56,20.69,0.44,-0.0528,-0.8153,2.2252
close_d0,ALL_CONTROL,409,8095,12.11,7.71,22.43,11.92,6.61,20.975,0.19,-0.0419,-1.0952,2.141
close_d1,FAILED_BREAKOUT,409,950,12.0,7.67,21.93,13.26,7.0025,23.88,-1.26,0.0324,-2.9752,0.8862
close_d1,NO_LAUNCH,409,1730,12.0,7.67,21.93,11.925,6.68,20.9375,0.075,-0.0423,-1.2776,2.1341
close_d1,STRUCTURE_FAIL,409,5415,12.0,7.67,21.93,11.63,6.55,20.76,0.37,-0.0488,-0.94,1.99
