episode_id,symbol,anchor_date,candidate_date,frozen_pattern_3d,recomputed_pattern_3d,frozen_outcome_3d,recomputed_outcome_3d,frozen_outcome_reason,recomputed_outcome_reason,s1_price,invalid_price,first_s1_touch_date,first_invalid_touch_date,conflict_class,candidate_row_reconciliation_status,event_row_reconciliation_status,feature_snapshot_id,feature_snapshot_hash,episode_snapshot_id
002782:20260326:2616,002782,2026-03-26,2026-03-30,NEITHER,INVALID_BEFORE_S1,NO_LAUNCH,STRUCTURE_FAIL,no S1 and no invalid touch within 3 sessions,invalid first within 3 sessions,24.78,20.25,,2026-04-02,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603090:20260327:6544,603090,2026-03-27,2026-03-30,NEITHER,INVALID_BEFORE_S1,NO_LAUNCH,STRUCTURE_FAIL,no S1 and no invalid touch within 3 sessions,invalid first within 3 sessions,74.59,61.23,,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600268:20260327:1499,600268,2026-03-27,2026-03-30,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,17.44,14.12,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603002:20260327:1034,603002,2026-03-27,2026-03-30,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,10.8,9.78,,2026-04-02,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002272:20260327:1766,002272,2026-03-27,2026-03-30,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,19.14,17.57,,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
601515:20260326:441,601515,2026-03-26,2026-03-30,S1_BEFORE_INVALID,INVALID_BEFORE_S1,SUCCESS,STRUCTURE_FAIL,S1 first + close>=S1 + volume>=signal-day volume,invalid first within 3 sessions,4.55,4.16,2026-04-01,2026-03-31,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002773:20260327:2765,002773,2026-03-27,2026-03-30,NEITHER,S1_BEFORE_INVALID,NO_LAUNCH,FAILED_BREAKOUT,no S1 and no invalid touch within 3 sessions,FAILED_ACCEPTANCE: S1 touched but close 30.25 < S1 30.49,30.49,27.51,2026-04-01,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600769:20260327:1360,600769,2026-03-27,2026-03-30,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,14.94,13.35,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
001313:20260327:756,001313,2026-03-27,2026-03-30,NEITHER,S1_BEFORE_INVALID,NO_LAUNCH,FAILED_BREAKOUT,no S1 and no invalid touch within 3 sessions,FAILED_ACCEPTANCE: S1 touched but close 7.94 < S1 8.08,8.08,7.44,2026-04-02,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002755:20260327:1539,002755,2026-03-27,2026-03-30,INVALID_BEFORE_S1,S1_BEFORE_INVALID,STRUCTURE_FAIL,SUCCESS,invalid first within 3 sessions,S1 first + close>=S1 + volume>=signal-day volume,16.72,15.31,2026-04-01,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603083:20260408:11155,603083,2026-04-08,2026-04-10,S1_BEFORE_INVALID,S1_BEFORE_INVALID,SUCCESS,FAILED_BREAKOUT,S1 first + close>=S1 + volume>=signal-day volume,FAILED_ACCEPTANCE: S1 touched but close 118.58 < S1 119.98,119.98,110.99,2026-04-13,,ACCEPTANCE_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
