episode_id,symbol,name,anchor_date,candidate_date,outcome_3d,outcome_reason_3d,outcome_5d,outcome_reason_5d,time_to_s1_10d,time_to_invalid_10d,first_event_type_10d,first_event_date_10d,window_incomplete_5d,window_incomplete_10d,first_event_right_censored_10d,candidate_reconciliation_status,feature_3d_has_provisional,label_5d_has_provisional,s1_price,invalid_price,data_quality,quality_flags,feature_snapshot_id,label_snapshot_id_5d
000882:20240703:120,000882,,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,1.17,1.1,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002510:20240626:381,002510,,2024-06-26,2024-07-05,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),UNKNOWN,pattern AMBIGUOUS (same-day S1/invalid order unknown),1.0,1.0,AMBIGUOUS,2024-07-10,False,False,False,CONFIRMED,False,False,4.1,3.77,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600271:20240702:817,600271,,2024-07-02,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,8.55,8.03,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600539:20240703:416,600539,狮头股份,2024-07-03,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,4.3,3.72,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002527:20240704:661,002527,,2024-07-04,2024-07-05,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,7.15,6.46,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000720:20240705:265,000720,,2024-07-05,2024-07-08,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-09,False,False,False,CONFIRMED,False,False,2.96,2.61,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002075:20240705:420,002075,,2024-07-05,2024-07-08,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,4.0,INVALID_FIRST,2024-07-12,False,False,False,CONFIRMED,False,False,4.81,4.29,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002979:20240704:1978,002979,雷赛智能,2024-07-04,2024-07-08,UNKNOWN,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),UNKNOWN,pattern AMBIGUOUS (same-day S1/invalid order unknown),1.0,1.0,AMBIGUOUS,2024-07-09,False,False,False,CONFIRMED,False,False,19.95,18.84,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600693:20240703:325,600693,东百集团,2024-07-03,2024-07-08,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-09,False,False,False,CONFIRMED,False,False,3.4,2.88,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
603058:20240705:880,603058,,2024-07-05,2024-07-08,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,NO_LAUNCH,no S1 and no invalid touch within 5 sessions,8.0,6.0,INVALID_FIRST,2024-07-16,False,False,False,CONFIRMED,False,False,9.02,8.46,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000890:20240705:270,000890,,2024-07-05,2024-07-08,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-09,False,False,False,CONFIRMED,False,False,3.02,2.59,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
001208:20240705:805,001208,华菱线缆,2024-07-05,2024-07-08,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,2.0,1.0,INVALID_FIRST,2024-07-09,False,False,False,CONFIRMED,False,False,8.34,8.01,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
