CHECKPOINT,stratum,group,feature,success_n,control_n,success_median,control_median,rank_biserial
1030,Q1,STRUCTURE_FAIL,s1_reject_count_so_far,7,21,0.0,0.0,0.0
1030,Q1,STRUCTURE_FAIL,support_reclaimed_so_far,7,21,1.0,1.0,0.0952
1030,Q1,STRUCTURE_FAIL,recovery_from_session_low_pct,7,21,2.6173,2.7857,0.1837
1030,Q1,STRUCTURE_FAIL,price_vs_vwap_pct,7,21,0.4354,-0.6932,-0.3605
1030,Q1,STRUCTURE_FAIL,close_location_so_far,7,21,0.55,0.404,-0.1837
1030,Q1,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,7,21,0.0,0.0,0.1905
1030,Q1,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,6,7,1.2454,1.5672,0.3333
1030,Q1,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,7,21,0.5711,1.1097,0.4694
1030,Q1,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,7,21,0.7092,1.3488,0.5102
1030,Q1,STRUCTURE_FAIL,session_range_pct,7,21,4.2459,8.7612,0.7143
1030,Q1,STRUCTURE_FAIL,session_low_pct_vs_prev_close,7,21,0.8636,-2.0583,-0.7959
1030,Q1,STRUCTURE_FAIL,D1_upper_shadow_pct,7,21,0.8556,0.0,-0.449
1030,Q2,FAILED_BREAKOUT,price_to_s1_pct,13,20,-8.7368,-7.0805,0.3692
1030,Q2,FAILED_BREAKOUT,s1_reject_count_so_far,13,20,0.0,0.0,0.0
1030,Q2,FAILED_BREAKOUT,support_reclaimed_so_far,13,20,0.0,1.0,0.2385
1030,Q2,FAILED_BREAKOUT,recovery_from_session_low_pct,13,20,3.1716,4.459,0.3
