feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
session_high_to_s1_pct,1000,STRUCTURE_FAIL,-0.152,-1.3241,3.0344,0.7756
best_distance_to_s1_so_far_pct,1000,FAILED_BREAKOUT,0.0082,-1.7592,1.9604,0.3479
best_distance_to_s1_so_far_pct,1000,STRUCTURE_FAIL,-0.3235,0.3295,5.1156,2.7433
s1_cross_count_so_far,1000,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_cross_count_so_far,1000,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1000,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1000,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
price_to_support_pct,1000,FAILED_BREAKOUT,-0.0809,-0.5788,1.3931,0.403
price_to_support_pct,1000,STRUCTURE_FAIL,-0.0304,-0.8858,1.4874,0.0266
price_to_invalid_pct,1000,FAILED_BREAKOUT,-0.1067,-0.6447,1.7173,0.4021
price_to_invalid_pct,1000,STRUCTURE_FAIL,-0.0549,-1.0651,1.4237,0.0197
session_low_to_support_pct,1000,FAILED_BREAKOUT,-0.1753,-0.2359,2.1661,0.49
session_low_to_support_pct,1000,STRUCTURE_FAIL,-0.1794,-0.7068,2.4574,0.6895
minutes_since_support_touch,1000,FAILED_BREAKOUT,-0.0164,0.0,0.0,0.0
minutes_since_support_touch,1000,STRUCTURE_FAIL,-0.0029,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1000,FAILED_BREAKOUT,-0.051,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1000,STRUCTURE_FAIL,0.1096,-1.3125,0.0,0.0
price_after_support_reclaim_pct,1000,FAILED_BREAKOUT,0.0065,-1.2377,1.1753,0.3205
price_after_support_reclaim_pct,1000,STRUCTURE_FAIL,0.3262,-2.0293,0.666,-0.576
drawdown_from_open_pct,1000,FAILED_BREAKOUT,-0.1505,-0.1917,0.8806,0.2709
drawdown_from_open_pct,1000,STRUCTURE_FAIL,-0.1029,-0.4335,0.6484,0.0156
session_low_pct_vs_prev_close,1000,FAILED_BREAKOUT,-0.3,-0.0039,1.9117,1.0683
session_low_pct_vs_prev_close,1000,STRUCTURE_FAIL,-0.3637,0.3203,2.1681,1.2532
recovery_from_session_low_pct,1000,FAILED_BREAKOUT,0.143,-1.2196,0.7232,-0.2811
recovery_from_session_low_pct,1000,STRUCTURE_FAIL,0.1348,-1.5032,0.9528,-0.0821
recovery_fraction_of_drawdown,1000,FAILED_BREAKOUT,-0.152,-0.1463,1.0312,0.4168
recovery_fraction_of_drawdown,1000,STRUCTURE_FAIL,0.0095,-1.2213,0.7418,-0.1477
minutes_low_to_open_reclaim,1000,FAILED_BREAKOUT,0.0284,0.0,0.0,0.0
minutes_low_to_open_reclaim,1000,STRUCTURE_FAIL,0.0709,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1000,FAILED_BREAKOUT,0.0688,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1000,STRUCTURE_FAIL,0.0958,0.0,0.0,0.0
price_vs_vwap_pct,1000,FAILED_BREAKOUT,0.0675,-0.7131,0.3248,-0.2709
price_vs_vwap_pct,1000,STRUCTURE_FAIL,-0.0186,-0.7661,0.6098,0.0016
minutes_low_to_vwap_reclaim,1000,FAILED_BREAKOUT,-0.1569,-5.0,10.0,0.0
minutes_low_to_vwap_reclaim,1000,STRUCTURE_FAIL,-0.3119,0.0,10.0,5.0
