CHECKPOINT,feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi,missingness,success_rate,control_rate,risk_ratio,odds_ratio,or_ci_lo,or_ci_hi
0945,cum_volume_vs_anchor_ratio,FAILED_BREAKOUT,40,97,0.2818,0.1846,0.4324,0.3161,0.236,0.5173,-0.0343,0.2129,-0.1225,0.0153,0.0,,,,,,
0945,cum_volume_vs_anchor_ratio,NO_LAUNCH,40,12,0.2818,0.1846,0.4324,0.1715,0.131,0.2505,0.1103,-0.3833,-0.0014,0.1698,0.0,,,,,,
0945,cum_volume_vs_anchor_ratio,STRUCTURE_FAIL,40,51,0.2818,0.1846,0.4324,0.3586,0.2321,0.6972,-0.0768,0.2931,-0.3318,-0.0177,0.0,,,,,,
0945,cum_volume_vs_anchor_ratio,ALL_CONTROL,40,160,0.2818,0.1846,0.4324,0.3237,0.2277,0.5618,-0.0419,0.1937,-0.1098,0.0018,0.0,,,,,,
0945,volume_since_session_low,FAILED_BREAKOUT,40,97,8490561.0,3401825.0,20051086.25,5459899.0,2458400.0,14768748.0,3030662.0,-0.1113,-875344.2875,9173457.65,0.0,,,,,,
0945,volume_since_session_low,NO_LAUNCH,40,12,8490561.0,3401825.0,20051086.25,4426750.0,1227675.0,6511982.25,4063811.0,-0.3958,-407337.175,11523551.975,0.0,,,,,,
0945,volume_since_session_low,STRUCTURE_FAIL,40,51,8490561.0,3401825.0,20051086.25,6120500.0,3785552.0,16846094.5,2370061.0,-0.0363,-2078942.9,8358879.025,0.0,,,,,,
0945,volume_since_session_low,ALL_CONTROL,40,160,8490561.0,3401825.0,20051086.25,5655950.0,3100329.25,14555027.25,2834611.0,-0.1087,-482534.6625,9165147.9625,0.0,,,,,,
0945,volume_on_recovery,FAILED_BREAKOUT,27,58,7566312.0,2949050.0,18789498.0,6213900.0,3275617.75,20338914.5,1352412.0,-0.0383,-3759317.75,12296364.375,0.325,,,,,,
0945,volume_on_recovery,NO_LAUNCH,27,9,7566312.0,2949050.0,18789498.0,3770800.0,1122984.0,6703929.0,3795512.0,-0.3992,-1044219.0,15892516.0,0.325,,,,,,
0945,volume_on_recovery,STRUCTURE_FAIL,27,34,7566312.0,2949050.0,18789498.0,7152250.0,3556225.0,18648281.25,414062.0,-0.0261,-5586617.0,12369850.0,0.325,,,,,,
0945,volume_on_recovery,ALL_CONTROL,27,101,7566312.0,2949050.0,18789498.0,5805000.0,3258700.0,18900500.0,1761312.0,-0.0664,-4037584.8,12464784.0,0.325,,,,,,
0945,return_from_open_pct,FAILED_BREAKOUT,40,97,0.3725,-0.8497,1.4852,-0.151,-1.3083,1.9497,0.5234,-0.0518,-0.7075,1.3963,0.0,,,,,,
0945,return_from_open_pct,NO_LAUNCH,40,12,0.3725,-0.8497,1.4852,0.967,-0.5143,2.2472,-0.5946,0.1021,-2.2226,1.3746,0.0,,,,,,
0945,return_from_open_pct,STRUCTURE_FAIL,40,51,0.3725,-0.8497,1.4852,1.209,-1.0889,2.522,-0.8366,0.1098,-2.0252,0.4524,0.0,,,,,,
0945,return_from_open_pct,ALL_CONTROL,40,160,0.3725,-0.8497,1.4852,0.5141,-1.2096,2.2795,-0.1416,0.0112,-0.999,0.8421,0.0,,,,,,
0945,return_from_prev_close_pct,FAILED_BREAKOUT,40,97,0.766,-1.165,2.7968,0.3222,-1.8945,1.9512,0.4438,-0.1562,-0.8121,1.8911,0.0,,,,,,
0945,return_from_prev_close_pct,NO_LAUNCH,40,12,0.766,-1.165,2.7968,0.1599,-2.2581,0.9211,0.6061,-0.2542,-1.0008,3.0339,0.0,,,,,,
0945,return_from_prev_close_pct,STRUCTURE_FAIL,40,51,0.766,-1.165,2.7968,0.3505,-1.3337,2.3998,0.4155,-0.0667,-1.1547,1.7205,0.0,,,,,,
0945,return_from_prev_close_pct,ALL_CONTROL,40,160,0.766,-1.165,2.7968,0.321,-1.719,2.056,0.445,-0.135,-0.6678,1.6567,0.0,,,,,,
0945,session_range_pct,FAILED_BREAKOUT,40,97,4.0737,3.2873,5.0477,4.5769,3.6364,5.4353,-0.5032,0.2098,-1.009,0.2337,0.0,,,,,,
0945,session_range_pct,NO_LAUNCH,40,12,4.0737,3.2873,5.0477,4.2182,3.4386,5.3767,-0.1445,0.05,-1.6912,0.9797,0.0,,,,,,
0945,session_range_pct,STRUCTURE_FAIL,40,51,4.0737,3.2873,5.0477,4.8841,4.0938,6.6821,-0.8104,0.35,-1.696,-0.1903,0.0,,,,,,
0945,session_range_pct,ALL_CONTROL,40,160,4.0737,3.2873,5.0477,4.6892,3.6662,5.6842,-0.6156,0.2425,-1.1491,0.0433,0.0,,,,,,
0945,close_location_so_far,FAILED_BREAKOUT,40,97,0.4585,0.1955,0.7075,0.526,0.248,0.745,-0.0675,0.0557,-0.245,0.2097,0.0,,,,,,
0945,close_location_so_far,NO_LAUNCH,40,12,0.4585,0.1955,0.7075,0.5965,0.2635,0.8425,-0.138,0.1708,-0.4353,0.2874,0.0,,,,,,
0945,close_location_so_far,STRUCTURE_FAIL,40,51,0.4585,0.1955,0.7075,0.562,0.341,0.823,-0.1035,0.151,-0.3146,0.148,0.0,,,,,,
0945,close_location_so_far,ALL_CONTROL,40,160,0.4585,0.1955,0.7075,0.5495,0.28,0.7548,-0.091,0.0947,-0.2666,0.1706,0.0,,,,,,
0945,high_from_open_pct,FAILED_BREAKOUT,40,97,2.4927,1.4996,3.9075,2.1696,1.2966,3.5563,0.3231,-0.0606,-0.3996,1.1505,0.0,,,,,,
0945,high_from_open_pct,NO_LAUNCH,40,12,2.4927,1.4996,3.9075,2.5499,1.329,3.5391,-0.0573,0.0,-1.2497,1.6012,0.0,,,,,,
0945,high_from_open_pct,STRUCTURE_FAIL,40,51,2.4927,1.4996,3.9075,3.4041,1.3018,4.1174,-0.9114,0.1186,-1.7469,0.3957,0.0,,,,,,
0945,high_from_open_pct,ALL_CONTROL,40,160,2.4927,1.4996,3.9075,2.4428,1.2827,3.8865,0.0498,0.0011,-0.7097,0.9462,0.0,,,,,,
0945,low_from_open_pct,FAILED_BREAKOUT,40,97,-1.6087,-2.0582,-0.8649,-1.8667,-3.3124,-0.823,0.258,-0.1629,-0.1836,0.7742,0.0,,,,,,
0945,low_from_open_pct,NO_LAUNCH,40,12,-1.6087,-2.0582,-0.8649,-1.1302,-2.7729,-0.5944,-0.4785,0.0167,-1.0695,1.2459,0.0,,,,,,
0945,low_from_open_pct,STRUCTURE_FAIL,40,51,-1.6087,-2.0582,-0.8649,-1.5909,-2.7915,-0.8674,-0.0178,-0.1029,-0.4661,0.6136,0.0,,,,,,
0945,low_from_open_pct,ALL_CONTROL,40,160,-1.6087,-2.0582,-0.8649,-1.7669,-3.1394,-0.7954,0.1582,-0.1303,-0.2396,0.5385,0.0,,,,,,
0945,lower_shadow_proxy_so_far_pct,FAILED_BREAKOUT,40,97,0.8716,0.3837,1.5595,1.0681,0.4618,1.7999,-0.1965,0.0508,-0.5476,0.4518,0.0,,,,,,
0945,lower_shadow_proxy_so_far_pct,NO_LAUNCH,40,12,0.8716,0.3837,1.5595,0.6926,0.413,1.1661,0.179,-0.1104,-0.4422,0.8133,0.0,,,,,,
0945,lower_shadow_proxy_so_far_pct,STRUCTURE_FAIL,40,51,0.8716,0.3837,1.5595,0.9934,0.6435,1.6854,-0.1218,0.1,-0.5831,0.4236,0.0,,,,,,
0945,lower_shadow_proxy_so_far_pct,ALL_CONTROL,40,160,0.8716,0.3837,1.5595,1.0051,0.5149,1.7166,-0.1336,0.0544,-0.5394,0.4584,0.0,,,,,,
0945,upper_shadow_proxy_so_far_pct,FAILED_BREAKOUT,40,97,1.3904,0.75,1.9538,1.2966,0.5222,2.1645,0.0938,-0.0838,-0.4212,0.5667,0.0,,,,,,
0945,upper_shadow_proxy_so_far_pct,NO_LAUNCH,40,12,1.3904,0.75,1.9538,1.0042,0.5359,2.9053,0.3862,-0.1125,-1.8105,0.9531,0.0,,,,,,
0945,upper_shadow_proxy_so_far_pct,STRUCTURE_FAIL,40,51,1.3904,0.75,1.9538,1.1952,0.5982,2.242,0.1952,-0.0784,-0.3764,0.6025,0.0,,,,,,
0945,upper_shadow_proxy_so_far_pct,ALL_CONTROL,40,160,1.3904,0.75,1.9538,1.2031,0.5342,2.2013,0.1874,-0.0842,-0.2896,0.5451,0.0,,,,,,
0945,checkpoint_close,FAILED_BREAKOUT,40,97,13.57,8.725,20.885,19.28,11.37,34.39,-5.71,0.2799,-10.1079,-0.6364,0.0,,,,,,
0945,checkpoint_close,NO_LAUNCH,40,12,13.57,8.725,20.885,12.42,9.61,31.5475,1.15,0.1125,-25.0309,6.5753,0.0,,,,,,
0945,checkpoint_close,STRUCTURE_FAIL,40,51,13.57,8.725,20.885,14.19,9.54,22.745,-0.62,0.0745,-5.4603,4.5205,0.0,,,,,,
0945,checkpoint_close,ALL_CONTROL,40,160,13.57,8.725,20.885,16.92,10.5975,30.6075,-3.35,0.2019,-8.0065,1.7194,0.0,,,,,,
0945,session_low_price,FAILED_BREAKOUT,40,97,13.34,8.49,20.44,18.55,10.97,33.6,-5.21,0.2755,-9.8235,-0.3443,0.0,,,,,,
0945,session_low_price,NO_LAUNCH,40,12,13.34,8.49,20.44,12.13,9.505,31.0475,1.21,0.1229,-24.8325,6.5853,0.0,,,,,,
0945,session_low_price,STRUCTURE_FAIL,40,51,13.34,8.49,20.44,13.79,9.31,22.305,-0.45,0.0676,-5.3679,4.58,0.0,,,,,,
0945,session_low_price,ALL_CONTROL,40,160,13.34,8.49,20.44,16.625,10.465,30.055,-3.285,0.1978,-7.7431,1.911,0.0,,,,,,
0945,session_high_price,FAILED_BREAKOUT,40,97,14.185,8.8125,21.3,19.51,11.6,35.3,-5.325,0.2791,-10.224,-0.5742,0.0,,,,,,
0945,session_high_price,NO_LAUNCH,40,12,14.185,8.8125,21.3,12.67,10.025,31.895,1.515,0.1333,-25.7882,6.7752,0.0,,,,,,
0945,session_high_price,STRUCTURE_FAIL,40,51,14.185,8.8125,21.3,14.5,9.73,23.22,-0.315,0.0725,-5.6619,4.8204,0.0,,,,,,
0945,session_high_price,ALL_CONTROL,40,160,14.185,8.8125,21.3,17.515,11.0075,31.1075,-3.33,0.2023,-8.2879,1.8614,0.0,,,,,,
0945,vwap_price,FAILED_BREAKOUT,40,97,13.7103,8.6205,20.8155,19.1283,11.2341,34.6535,-5.418,0.2789,-10.0296,-0.4912,0.0,,,,,,
0945,vwap_price,NO_LAUNCH,40,12,13.7103,8.6205,20.8155,12.3945,9.7129,31.5022,1.3158,0.125,-25.1649,6.7304,0.0,,,,,,
0945,vwap_price,STRUCTURE_FAIL,40,51,13.7103,8.6205,20.8155,13.9999,9.5,22.759,-0.2896,0.0686,-5.5298,4.7302,0.0,,,,,,
0945,vwap_price,ALL_CONTROL,40,160,13.7103,8.6205,20.8155,17.0034,10.6755,30.7179,-3.2931,0.2003,-8.0611,1.8302,0.0,,,,,,
0945,high_level_consolidation_pre_D0,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.325,0.1856,1.751,2.113,0.932,4.617
0945,high_level_consolidation_pre_D0,NO_LAUNCH,40,12,,,,,,,,,,,,0.325,0.0833,3.9,5.296,0.974,9.952
0945,high_level_consolidation_pre_D0,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.325,0.098,3.315,4.43,1.56,16.333
0945,high_level_consolidation_pre_D0,ALL_CONTROL,40,160,,,,,,,,,,,,0.325,0.15,2.167,2.728,1.232,5.765
0945,s1_touched_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.0,0.0,,,,
0945,s1_touched_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.0,0.0,,,,
0945,s1_touched_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.0,0.0,,,,
0945,s1_touched_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.0,0.0,,,,
0945,support_touched_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.525,0.6186,0.849,0.682,0.301,1.418
0945,support_touched_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.525,0.25,2.1,3.316,0.877,18.333
0945,support_touched_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.525,0.5882,0.892,0.774,0.364,1.733
0945,support_touched_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.525,0.5813,0.903,0.796,0.388,1.695
0945,support_broken_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.525,0.6082,0.863,0.712,0.323,1.516
0945,support_broken_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.525,0.25,2.1,3.316,0.877,18.333
0945,support_broken_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.525,0.5882,0.892,0.774,0.364,1.733
0945,support_broken_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.525,0.575,0.913,0.817,0.398,1.738
0945,support_reclaimed_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.3,0.4021,0.746,0.637,0.273,1.401
0945,support_reclaimed_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.3,0.0833,3.6,4.714,0.861,9.0
0945,support_reclaimed_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.3,0.3529,0.85,0.786,0.324,1.706
0945,support_reclaimed_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.3,0.3625,0.828,0.754,0.323,1.425
0945,open_reclaimed_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.6,0.4845,1.238,1.596,0.821,3.134
0945,open_reclaimed_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.6,0.75,0.8,0.5,0.111,1.857
0945,open_reclaimed_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.6,0.6275,0.956,0.891,0.417,2.06
0945,open_reclaimed_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.6,0.55,1.091,1.227,0.611,2.692
0945,prev_close_reclaimed_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.625,0.5464,1.144,1.384,0.632,3.059
0945,prev_close_reclaimed_so_far,NO_LAUNCH,40,12,,,,,,,,,,,,0.625,0.6667,0.938,0.833,0.193,3.157
0945,prev_close_reclaimed_so_far,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.625,0.5686,1.099,1.264,0.593,2.966
0945,prev_close_reclaimed_so_far,ALL_CONTROL,40,160,,,,,,,,,,,,0.625,0.5625,1.111,1.296,0.636,2.909
0945,above_vwap_now,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.55,0.4536,1.213,1.472,0.757,2.824
0945,above_vwap_now,NO_LAUNCH,40,12,,,,,,,,,,,,0.55,0.5,1.1,1.222,0.315,4.839
0945,above_vwap_now,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.55,0.5882,0.935,0.856,0.406,1.931
0945,above_vwap_now,ALL_CONTROL,40,160,,,,,,,,,,,,0.55,0.5,1.1,1.222,0.636,2.364
0945,vwap_reclaimed_after_low,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.225,0.2887,0.779,0.715,0.287,1.556
0945,vwap_reclaimed_after_low,NO_LAUNCH,40,12,,,,,,,,,,,,0.225,0.25,0.9,0.871,0.208,4.106
0945,vwap_reclaimed_after_low,STRUCTURE_FAIL,40,51,,,,,,,,,,,,0.225,0.3137,0.717,0.635,0.233,1.44
0945,vwap_reclaimed_after_low,ALL_CONTROL,40,160,,,,,,,,,,,,0.225,0.2938,0.766,0.698,0.259,1.491
0945,d0_new_low_since_anchor_so_far,FAILED_BREAKOUT,40,97,,,,,,,,,,,,0.3,0.1959,1.532,1.759,0.76,3.742
