feature,group,episode_id,symbol,name,candidate_date,anchor_date,outcome,CHECKPOINT,support,s1,invalid,checkpoint_price,session_low,session_high,vwap,feature_value
D1_upper_shadow_pct,FAILED_BREAKOUT,605069:20260611:1155,605069,正和生态,2026-06-18,2026-06-11,FAILED_BREAKOUT,1130,10.85850000000000000000000000,12.15,10.77,11.14,10.7,11.86,11.404872648747581,2.8757
D1_upper_shadow_pct,FAILED_BREAKOUT,601869:20260602:40874,601869,,2026-06-08,2026-06-02,FAILED_BREAKOUT,1130,434.1590000000000000000000000,487.1,427.85,446.84,406.0,462.3,433.53286003131495,6.8319
D1_upper_shadow_pct,NO_LAUNCH,600531:20260612:1309,600531,,2026-06-15,2026-06-12,NO_LAUNCH,1130,13.13250000000000000000000000,14.39,13.07,13.31,13.09,13.6,13.398350138165883,0.0
D1_upper_shadow_pct,NO_LAUNCH,603318:20260629:969,603318,水发燃气,2026-06-30,2026-06-29,NO_LAUNCH,1130,8.942056193090747877093066879,11.69,8.9,9.31,8.97,9.59,9.197856606223372,0.0
D1_upper_shadow_pct,NO_LAUNCH,002174:20260727:1134,002174,游族网络,2026-07-28,2026-07-27,NO_LAUNCH,1130,10.81432495812395309882747069,11.9,10.7,11.22,11.12,11.5,11.335212645652716,0.0
D1_upper_shadow_pct,NO_LAUNCH,603661:20260708:4267,603661,,2026-07-28,2026-07-08,NO_LAUNCH,1130,26.13969217248652449027419733,30.24,25.84,27.66,27.36,28.1,27.699625212136766,0.0736
D1_upper_shadow_pct,NO_LAUNCH,600058:20260610:1034,600058,,2026-06-12,2026-06-10,NO_LAUNCH,1130,10.19950000000000000000000000,11.2,10.05,10.5,9.67,10.75,10.211426046767368,0.4587
D1_upper_shadow_pct,NO_LAUNCH,603950:20260604:7005,603950,长源东谷,2026-06-08,2026-06-04,NO_LAUNCH,1130,50.29492598666299956706638859,71.8,50.04,63.66,61.24,65.68,63.27940668322645,1.5072
D1_upper_shadow_pct,NO_LAUNCH,002403:20260706:1178,002403,,2026-07-27,2026-07-06,NO_LAUNCH,1130,7.995721768707482993197278905,10.23,7.96,8.05,7.81,8.12,8.010037339959064,1.7478
D1_upper_shadow_pct,NO_LAUNCH,002910:20260626:1227,002910,,2026-06-30,2026-06-26,NO_LAUNCH,1130,10.60126756605223919711552221,13.41,10.51,10.99,10.8,12.14,11.409842376084894,1.8167
