baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,4475,4201,4096,253,3843,0.5767907154222194,POSITIVE,POSITIVE,True,0.07679071542221938,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,2136,1884,1860,85,1775,0.627996685998343,POSITIVE,POSITIVE,True,0.12799668599834302,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,2136,1884,1860,107,1753,0.6063730534037778,POSITIVE,POSITIVE,True,0.10637305340377778,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,6485,2464,2381,136,2245,0.5566602253373509,POSITIVE,POSITIVE,True,0.056660225337350933,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,6485,2464,2380,156,2224,0.5654471615015679,POSITIVE,POSITIVE,True,0.06544716150156793,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,2136,1884,1860,85,1775,0.627996685998343,POSITIVE,POSITIVE,True,0.12799668599834302,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,2136,1884,1860,107,1753,0.6063730534037778,POSITIVE,POSITIVE,True,0.10637305340377778,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,6485,2464,2381,136,2245,0.5566602253373509,POSITIVE,POSITIVE,True,0.056660225337350933,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,6485,2464,2380,156,2224,0.5654471615015679,POSITIVE,POSITIVE,True,0.06544716150156793,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,2136,1884,1860,85,1775,0.6020878210439106,POSITIVE,POSITIVE,True,0.10208782104391056,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,2136,1884,1860,107,1753,0.5839602070682568,POSITIVE,POSITIVE,True,0.0839602070682568,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,6485,2464,2381,136,2245,0.5029067863225468,POSITIVE,POSITIVE,True,0.002906786322546817,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,6485,2464,2380,156,2224,0.5142933729939125,POSITIVE,POSITIVE,True,0.014293372993912534,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,2136,1884,1860,85,1775,0.6020878210439106,POSITIVE,POSITIVE,True,0.10208782104391056,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,2136,1884,1860,107,1753,0.5839602070682568,POSITIVE,POSITIVE,True,0.0839602070682568,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,6485,2464,2381,136,2245,0.5029067863225468,POSITIVE,POSITIVE,True,0.002906786322546817,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,6485,2464,2380,156,2224,0.5142933729939125,POSITIVE,POSITIVE,True,0.014293372993912534,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,2136,1980,1955,89,1866,0.4004118645904838,NEGATIVE,NEGATIVE,True,0.09958813540951622,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,2136,1980,1955,111,1844,0.38686951593676105,NEGATIVE,NEGATIVE,True,0.11313048406323895,IDENTIFIABLE,
