setup_id,symbol,candidate_date,t0_date,first_observation_stage,s1_price,price_tick,event_search_start,event_search_end,setup_ledger_sha256,prior_intraday_ledger_sha256,authority_state_generation
603657:20260805:2614,603657,2026-08-10,2026-08-05,B2_READY,31.8100,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603660:20260807:1199,603660,2026-08-10,2026-08-07,B1_READY,12.5800,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603661:20260804:3149,603661,2026-08-10,2026-08-04,B2_READY,34.5800,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603725:20260810:1122,603725,2026-08-11,2026-08-10,B1_READY,12.5000,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
603826:20260805:1736,603826,2026-08-10,2026-08-05,B2_READY,22.5300,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603912:20260804:784,603912,2026-08-10,2026-08-04,B2_READY,8.7900,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603931:20260804:3223,603931,2026-08-10,2026-08-04,B2_READY,37.8000,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603936:20260807:1593,603936,2026-08-11,2026-08-07,B1_READY,16.5700,0.01,2026-08-12,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
605056:20260803:1481,605056,2026-08-10,2026-08-03,B2_READY,15.6100,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
605128:20260810:2508,605128,2026-08-11,2026-08-10,B1_READY,27.2800,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
605178:20260805:6424,605178,2026-08-10,2026-08-05,B2_READY,71.3500,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
605289:20260807:10449,605289,2026-08-10,2026-08-07,B1_READY,112.5600,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
605303:20260804:2108,605303,2026-08-10,2026-08-04,B2_READY,22.5600,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
605488:20260803:2698,605488,2026-08-10,2026-08-03,B2_READY,29.4500,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
