episode_id,outcome,CHECKPOINT,quiet_score
605300:20260625:943,FAILED_BREAKOUT,1000,0.225589
603297:20260624:13289,FAILED_BREAKOUT,1000,0.744108
600539:20260626:1432,FAILED_BREAKOUT,1000,0.195286
002518:20260625:5443,FAILED_BREAKOUT,1000,0.505051
002497:20260624:2360,FAILED_BREAKOUT,1000,0.205387
600118:20260626:7777,FAILED_BREAKOUT,1000,0.501684
603063:20260625:5517,FAILED_BREAKOUT,1000,0.599327
603318:20260629:969,NO_LAUNCH,1000,0.292929
002728:20260629:880,SUCCESS,1000,0.555556
002370:20260629:537,SUCCESS,1000,0.417508
002038:20260629:558,SUCCESS,1000,0.40404
001270:20260626:13943,FAILED_BREAKOUT,1000,0.673401
002693:20260629:911,SUCCESS,1000,0.518519
002915:20260629:2034,SUCCESS,1000,0.474747
600516:20260625:677,FAILED_BREAKOUT,1000,0.501684
000756:20260629:1359,FAILED_BREAKOUT,1000,0.558923
002910:20260626:1227,NO_LAUNCH,1000,0.420875
603477:20260629:1455,FAILED_BREAKOUT,1000,0.447811
600488:20260629:484,SUCCESS,1000,0.69697
002472:20260630:4151,SUCCESS,1000,0.612795
002805:20260630:2859,STRUCTURE_FAIL,1000,0.245791
603717:20260623:679,SUCCESS,1000,0.397306
002615:20260630:690,FAILED_BREAKOUT,1000,0.548822
001215:20260626:3917,FAILED_BREAKOUT,1000,0.62963
601882:20260630:2023,FAILED_BREAKOUT,1000,0.750842
600846:20260630:1000,FAILED_BREAKOUT,1000,0.478114
603211:20260630:3551,SUCCESS,1000,0.606061
603118:20260630:1211,SUCCESS,1000,0.639731
002403:20260701:981,FAILED_BREAKOUT,1000,0.612795
000938:20260630:2886,FAILED_BREAKOUT,1000,0.616162
002903:20260630:4542,NO_LAUNCH,1000,0.6633
600661:20260701:760,FAILED_BREAKOUT,1000,0.410774
002442:20260701:542,STRUCTURE_FAIL,1000,0.427609
605300:20260629:1035,STRUCTURE_FAIL,1000,0.582492
605018:20260630:1491,FAILED_BREAKOUT,1000,0.771044
603615:20260701:1777,FAILED_BREAKOUT,1000,0.525253
002124:20260701:232,SUCCESS,1000,0.925926
002931:20260702:7128,STRUCTURE_FAIL,1000,0.185185
605111:20260630:9914,NO_LAUNCH,1000,0.56229
600975:20260701:474,FAILED_BREAKOUT,1000,0.777778
002392:20260702:878,STRUCTURE_FAIL,1000,0.367003
002440:20260701:1128,STRUCTURE_FAIL,1000,0.329966
003030:20260702:2244,STRUCTURE_FAIL,1000,0.535354
002607:20260701:198,SUCCESS,1000,0.754209
600449:20260702:1239,FAILED_BREAKOUT,1000,0.333333
000876:20260701:690,SUCCESS,1000,0.855219
002842:20260702:5017,STRUCTURE_FAIL,1000,0.434343
002693:20260702:1067,STRUCTURE_FAIL,1000,0.444444
002427:20260702:530,STRUCTURE_FAIL,1000,0.535354
002518:20260630:5359,STRUCTURE_FAIL,1000,0.56229
000593:20260706:2466,STRUCTURE_FAIL,1000,0.057239
603118:20260706:1342,UNKNOWN,1000,0.259259
001270:20260703:16332,STRUCTURE_FAIL,1000,0.501684
002472:20260703:4701,STRUCTURE_FAIL,1000,0.232323
002129:20260707:1102,STRUCTURE_FAIL,1000,0.20202
603020:20260706:1469,STRUCTURE_FAIL,1000,0.276094
001206:20260707:1954,STRUCTURE_FAIL,1000,0.242424
603477:20260706:1673,NO_LAUNCH,1000,0.451178
002585:20260707:1137,STRUCTURE_FAIL,1000,0.464646
603065:20260707:2025,STRUCTURE_FAIL,1000,0.215488
002642:20260708:670,SUCCESS,1000,0.804714
002403:20260706:1178,NO_LAUNCH,1000,0.750842
000892:20260706:376,FAILED_BREAKOUT,1000,0.62963
