episode_id,symbol,candidate_date,outcome,CHECKPOINT,A_D0cum_vs_D1full,B_D0cum_vs_anchorfull,C_D0cum,D_D1full,E_anchorfull,D0cum_vs_median5,D1full_vs_median5,F_D0cum_vs_D1_sametime,D1_sametime_available
603629:20260615:16737,603629,2026-06-17,FAILED_BREAKOUT,0945,0.229,0.2632,8554236.0,37346924.0,32500800.0,0.25555610823939573,1.115731966262386,0.22904793979820132,True
600362:20260615:4736,600362,2026-06-17,SUCCESS,0945,0.1343,0.1153,10649000.0,79288758.0,92320649.0,0.13430655579193207,1.0,0.13430655579193207,True
603318:20260616:965,603318,2026-06-17,FAILED_BREAKOUT,0945,0.4642,0.4642,28336400.0,61045791.0,61045791.0,0.41243428740698235,0.8885171479185986,0.4641826985254397,True
000657:20260615:8690,000657,2026-06-17,FAILED_BREAKOUT,0945,0.2219,0.2257,27316846.0,123109335.0,121046353.0,0.2218909394645012,1.0,0.22190932535797267,True
600563:20260615:15730,600563,2026-06-17,FAILED_BREAKOUT,0945,0.1313,0.1859,1685363.0,12836496.0,9064409.0,0.14778760068656888,1.1256180093325525,0.1312946305596169,True
002910:20260616:1121,002910,2026-06-17,FAILED_BREAKOUT,0945,0.2923,0.2923,5073900.0,17358999.0,17358999.0,0.4591982877014519,1.5710247771952965,0.29232251125311176,True
002645:20260616:3363,002645,2026-06-17,FAILED_BREAKOUT,0945,0.5217,0.5217,23460657.0,44973928.0,44973928.0,0.3505231224334911,0.6719505626231616,0.5217093271810419,True
002440:20260615:998,002440,2026-06-17,UNKNOWN,0945,0.1383,0.1238,12222532.0,88397443.0,98766121.0,0.26020553341238933,1.8818935232164893,0.13846224936486803,True
002931:20260616:7194,002931,2026-06-17,UNKNOWN,0945,0.4443,0.4443,5621600.0,12652820.0,12652820.0,0.3493837555695932,0.7863757240191512,0.4445386338044207,True
603637:20260617:1827,603637,2026-06-18,FAILED_BREAKOUT,0945,0.5749,0.5749,5265923.0,9160283.0,9160283.0,0.4678026519094951,0.8137613633244287,0.5748646630240573,True
603042:20260616:2097,603042,2026-06-18,SUCCESS,0945,0.1747,0.1804,3057755.0,17503850.0,16954438.0,0.2671018265358712,1.5290009521396937,0.17469042524930228,True
002885:20260616:4329,002885,2026-06-18,FAILED_BREAKOUT,0945,0.1504,0.5173,5272300.0,35054325.0,10192351.0,0.3930008093626668,2.6129731040839794,0.15045863443443172,True
605069:20260611:1155,605069,2026-06-18,FAILED_BREAKOUT,0945,0.46,0.7689,6563300.0,14268830.0,8535680.0,0.4035789786960869,0.8773939692819291,0.4599746440317812,True
000050:20260617:914,000050,2026-06-18,FAILED_BREAKOUT,0945,0.7647,0.7647,44072965.0,57632755.0,57632755.0,0.7526362697436325,0.9841974947283144,0.7648242848953201,True
002927:20260616:2224,002927,2026-06-18,UNKNOWN,0945,0.1274,0.1619,2987300.0,23442100.0,18457002.0,0.16185185438025093,1.270092510148723,0.12747716992404198,True
002346:20260616:1801,002346,2026-06-18,FAILED_BREAKOUT,0945,0.2397,0.3572,2458400.0,10256700.0,6881801.0,0.48484924982871314,2.0228414012032876,0.23972930013944554,True
002830:20260612:1676,002830,2026-06-18,SUCCESS,0945,0.3381,0.4825,2998240.0,8867242.0,6213517.0,0.3009531763175434,0.8900637190739655,0.33838492481526317,True
002317:20260618:2290,002317,2026-06-22,FAILED_BREAKOUT,0945,0.4095,0.4095,12666100.0,30931430.0,30931430.0,0.40948963562305396,1.0,0.41009288047988196,True
002442:20260618:548,002442,2026-06-22,FAILED_BREAKOUT,0945,0.3006,0.3006,11965150.0,39801888.0,39801888.0,0.5806830406716174,1.931633230532936,0.3012845312061393,True
603127:20260618:3566,603127,2026-06-22,FAILED_BREAKOUT,0945,0.2929,0.2929,8078425.0,27585410.0,27585410.0,0.43609211413330523,1.489124398151127,0.29285136599383516,True
603929:20260617:23218,603929,2026-06-22,FAILED_BREAKOUT,0945,0.184,0.2596,2589659.0,14074948.0,9975855.0,0.25959268654165485,1.4109014214821687,0.18399066199036757,True
600026:20260617:1969,600026,2026-06-22,FAILED_BREAKOUT,0945,0.1985,0.2382,25436381.0,128121352.0,106779361.0,0.23354459608935818,1.1763485302120016,0.19853350439199235,True
